,Tweet,Label,preprocessing_text,text_len
23,"Bangsat ini mah bener2 kelainan,harusnya dihukum mati aja",1,bangsat benar lain harus hukum mati,6
24,wah bangsat iya iya gue tidur anjing gausah nangis dong,0,wah bangsat iya iya tidur anjing usah tangis dong,9
25,@tanyarlfes bisa gak yg kayak gini direport aja? gue jantungan bangsat,0,kayak begini direport jantung bangsat,5
26,"@Askrlfess Tolol ngentot babi biadab jadah haram koplok emosi aing bangsat, makin kesini makin kesana, sebenernya dia tahu kalo dia tahu cuma si tahu itu pura pura tidak tahu bahwa dia tahu, intinya goblok anjing lo tolol iq rendah bangke, apalagi ges bantu dibawah kalo lu tahu",1,tolol ngentot babi biadab jadah haram goblok emosi aku bangsat makin kesini makin kesana benar tahu kalau tahu cuma sih tahu pura pura tahu tahu inti goblok anjing kamu tolol intelligence quotient rendah bangkai gas bantu bawah kalau kamu tahu,40
27,Bangsat lagi gue ngetawain ginian dua menit.,0,bangsat tertawa begini menit,4
28,Kalo gak krn kasian sama baba sama ibu udh mati gua bangsat,0,kalau kasihan sama baba sama ibu mati bangsat,8
29,@JennyJusuf bangsat banget anjing kesel yaallah kasian gapunya otak,1,bangsat sangat anjing kesal allah kasihan punya otak,8
30,Pki dari palembang... Hahaha... Apa kabar buku merah... Bangsat penghinat negara agen rrc...!! Hukum udah gak laku bagi org ini. Hukum rakyat cocoknya,1,partai komunis indonesia palembang haha apa kabar buku merah bangsat khianat negara agen republik rakyat cina hukum laku orang hukum rakyat cocok,22
31,"@detikcom Dasar bajingan, nyawa ilang sia sia, nama instansi ancur lebur, ngilangin barbuk, bikin skenario, semua orang lu bikin sengsara, cuma gara gara lu ga bisa ngontrol emosi, bangsat, malah minta bebas hukuman",1,dasar bajing nyawa hilang kamu kamu nama instansi hancur lebur hilang barbuk bikin skenario semua orang kamu bikin sengsara cuma gara gara kamu kontrol emosi bangsat malah minta bebas hukum,30
32,@piraej bangsat lucu banget lagi,0,bangsat lucu sangat,3
33,"Kamu gak kasih makan apa2 ke rakyat, justru kamu maling duit rakyat. Dasar bangsat!",1,kamu kasih makan apa rakyat justru kamu maling duit rakyat dasar bangsat,12
34,Dasar Manusia Anjing Muka Babi ya Nganiaya Orang se Enaknya aja LO Bangsat jgn mentang2 Anak DPR ya LO Bangsat Anjing …,1,dasar manusia anjing muka babi aniaya orang se enak kamu bangsat jangan mentang anak dewan wakil rakyat kamu bangsat anjing,20
35,"besok mau potong rambut, bodo amat gue jelek banget bangsat",0,besok mau potong rambut bodoh jelek sangat bangsat,8
36,Emang bangsat si kucing sprei kesayanganku di pipisin bangsat,0,memang bangsat sih kucing sprei sayang aku pipisin bangsat,9
37,"Ngotak ajg, kalo mau sumpah serapah yg bener bangsat.",0,pakai otak anjing kalau mau sumpah serapah benar bangsat,9
38,"@Relyourbae2 Udah capek banget bilang sama diri sendiri untuk berubah lebih baik, nyatanya makin bangsat",0,cape sangat bilang sama diri sendiri ubah lebih baik nyata makin bangsat,12
39,BANGSAT LO YA MULUT LO,1,bangsat kamu mulut kamu,4
40,hp gue tdi ketinggalan anjir jadi nya puter balik bangsat banget hari ini,0,handphone tadi tinggal anjir jadi nya putar balik bangsat sangat hari,11
41,kucing bangsat berak dikeset. mana kesetnya tuh keset karet mie bihun. kan susah bersiinnya masi pagi ada ada aja anjing,0,kucing bangsat buang air besar keset mana keset keset karet mie bihun kan susah sih pagi anjing,17
42,"@mx00711 @iam_zelt Lah, gak usah bawa gender lah kalo begini. Cewek, cowok, gay, lesbi, trans, blaÂ³, ya podo wae. Bangsat ya bangsat aja, rusak ya rusak aja.",0,lah usah bawa gender lah kalau begini cewek cowok gay lesbi trans bla podo bangsat bangsat rusak rusak,18
43,Masih pagi tapi dah bangsat aja,0,pagi bangsat,2
44,"td pas gua butuhin, gua teriak2 kesakitan lo kmn aja bangsat?",0,tadi pas butuh teriak sakit kamu bangsat,7
45,@SeputarTetangga Biasanya nglawan tetangga ga tau diri gini rawan bgt. Awalnya udh ga tau diri terus kita sikapinnya bikin dia sakit hati. Diem2 didukunin. Kan bangsat.,0,biasa lawan tetangga tau diri begini rawan sangat awal tau diri terus sikap bikin sakit hati diam didukunin kan bangsat,20
46,"@MARQUEZ__93 @J0ker_Wedoks Sepertinya bangsat Yaman satu ini tdk sadar diri akan keberadaannya lg numpang di negeri orang. Dari gaya bahasanya dpt dipastikan IQ nya rendahan, alias otak Idiot, Sudah saatnya para bangsat2x Yaman yg buat keonaran diusir dari Nusantara, mereka sok jd majikan pdhl sampah.",1,seperti bangsat yaman satu sadar diri ada tumpang negeri orang gaya bahasa pasti intelligence quotient nya rendah alias otak idiot saat bangsat x yaman buat onar usir nusantara sok jadi majikan padahal sampah,33
47,Bikin kesel anjing driver ojol pesen dr jam 06.15 baru otw 06.24 aing kesiangan gara2 ini lelet anj lah ga suka  apk nya lg bloon ngasih driver jauh. Bangsat pdhl aing udh sepagi mungkin pesen nya bgke,0,bikin kesal anjing driver ojek online pesan jam baru jalan aku siang gara lelet anjing lah suka aplikasi nya bodoh beri driver jauh bangsat padahal aku pagi mungkin pesan nya bangkai,31
48,"bangsat ngeselin juga ni orang, maksa banget dah heran",0,bangsat kesal nih orang paksa sangat heran,7
49,BAN MOTOR GWEH BOCOR BANGSAT,0,ban motor bocor bangsat,4
50,@geloraco OTAK KALIAN PARA BANGSAT NEGARA HANYA MEMIKIRKAN CARA MEMERAS UANG RAKYAT!!!,1,otak kalian bangsat negara pikir cara peras uang rakyat,9
51,Demi Allah pusing bgtt gabisa tidur grgr americano bangsat,0,allah pusing sangat tidur gara gara americano bangsat,8
52,"@___bebekpremium @convomf Bangsat, lucu banget emang",0,bangsat lucu sangat memang,4
53,"eh gue di gigit temen gue bangsat emang skrg biru gitu anjir sakit bgt, dikata lucu apa ya mles bgt gue",0,eh gigit teman bangsat memang sekarang biru anjir sakit sangat kata lucu apa malas sangat,15
54,udah kaya paling bangsat banget kali jadi anak,0,paling bangsat sangat kali jadi anak,6
55,"awokwokwok bangsat ada pr mtk ternyata, dan gua belom samsek",0,wkwk bangsat kerja rumah matematika nyata sama sekali,8
56,"@BlackcoTanya Bebaskan dari hukuman seumur hidup DAN DIGANTI HUKUMAN MATI..Perencana pembunuhan koq ya minta dibebaskan, otak dimana otak??? Bangsat.",0,bebas hukum umur hidup ganti hukum mati rencana bunuh kok minta bebas otak otak bangsat,16
57,@MataNajwa Pengurusnya Bangsat Semua,1,urus bangsat semua,3
58,Mau seberat apa masalah lu mau sesakit apa lu ngerasain. Pada akhir nya yaudah lu tetep sendiri bangsat,0,mau berat apa masalah kamu mau sakit apa kamu rasa akhir nya kamu tetap sendiri bangsat,16
59,"Blm juga nyentuh kepala 2 tapi dh langganan Dokter, bangsat perkara stress penyakit numpuk...",0,sentuh kepala langgan dokter bangsat perkara stres sakit tumpuk,9
60,"anies bangsat , pemimpin gagal!! https://t.co/s0ptwnZWiO #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah",1,anies bangsat pimpin gagal,4
61,"@Serra332103504 @only_fa_ns @crazy_vest Lu punya masalah apa sama gua anjing, berani lu sini kasih alamat lu bangsat.",0,kamu punya masalah apa sama anjing berani kamu sini kasih alamat kamu bangsat,13
62,"Bgnilah klo semua permasalahan di negara ini di campur aduk ke POLITIK! KORUPTOR. Politikus cepat menggerogoti. Karna hukum tak lagi berpihak pd RAKYAT. HUKUM di pakai utk menjerat RAKYAT KECIL, agar bisnis MAFIA APARAT BANGSAT tak di telusuri rakyat. KALIAN SEMUA BANGSAT",0,begini kalau semua masalah negara campur aduk politik koruptor politikus cepat gerogot hukum pihak rakyat hukum pakai jerat rakyat kecil bisnis mafia aparat bangsat telusur rakyat kalian semua bangsat,29
63,"yang bangsat disayang-sayang, yang tulus malah disia-siakan haha",0,bangsat sayang sayang tulus malah sia sia haha,8
64,"@jubidotcom Klau warga asli di stu merantau trus di bakar juga hidup2,kra2 gmn yah apa macam monyet pd teriak2,itu perempuan bos luw hajar lalu di bakar macam iblis bangsat",0,kalau warga asli situ rantau terus bakar hidup kira bagaimana apa macam monyet teriak perempuan bos kamu hajar lalu bakar macam iblis bangsat,23
65,"ego gua bilang mending main fifa aja sampe pagi, akal gua bilang mending coba tidur daripada chaos. Bangsat emang moment begini nih https://t.co/12Y81FaE2r",0,ego bilang mending main federation of international football association pagi akal bilang mending coba tidur chaos bangsat memang momen begini nih,21
66,"@acmilan Pemain ampas, strategi ampas, maen lari lari doang goblok najis, NGAPAIN BELI PEMAIN KALO GAK DIPAKE BANGSAT?",1,main ampas strategi ampas main lari lari doang goblok najis apa beli main kalau pakai bangsat,16
67,"Ril anjing. Gue lembur sebulan full selama puasa aja gak dikasih tambahan bangsat. Makan tuh keluarga, orang kerja nyari duit bukan nyari keluarga.",0,ril anjing lembur bulan full lama puasa kasih tambah bangsat makan keluarga orang kerja cari duit bukan cari keluarga,19
68,"@convomfs Tapi berkat fitur inj gue jd tau waktu itu kan gue tbtb ditinggal gitu aja sm cowo yg lagi pdktin gue gaada kata perpisahan atau apa, trs ada satu akun cewe muncul ni di ig gue pas gue buka eh ternyata dia tunangan nya ni si cowo bangsat trs abis tu bbrp bulan kemudian nikah",0,berkat fitur jadi tau waktu kan tiba tiba tinggal sama cowok dekat kata pisah apa terus satu akun cewek muncul nih instagram pas buka eh nyata tunang nya nih sih cowok bangsat terus habis beberapa bulan kemudian nikah,38
69,"@ruhutsitompul Kamu bisanya hanya sebar fitnah dan hoax cuk, mau jadi apa kau bangsat !",1,kamu bisa sebar fitnah hoaks cuk mau jadi apa kamu bangsat,11
70,kapan si lo hilang dari otak gue bangsat,0,kapan sih kamu hilang otak bangsat,6
71,@ambndeathstar_ demi tuhan gua gangerti maksud lu apa bangsat,0,tuhan erti maksud kamu apa bangsat,6
72,"Sumpah yaa jerawat, lu kek gaada tempat lain aja bangsat sakit banget idung guaaaa",0,sumpah jerawat kamu tempat bangsat sakit sangat hidung,8
73,Tolol bin goblog obsesi kayak emak lo cuihhh amit amit bangsat ada modelan kaya gini haus kekuasan banget lo,1,tolol bin goblok obsesi kayak ibu kamu cih amit amit bangsat model begini haus kuas sangat kamu,17
74,"@FWBESS Si bangsat , survei dari siapa . Populasinya dimana dan berapa yang diambil berapa data. Yaa bisa aja gua nanya 2 kawan gua cewek yang satunya ada backingan satunya gak ada ya hasilnya 50% perempuan yang saya survey menyatakan ada backingan",0,sih bangsat survei siapa populasi berapa ambil berapa data tanya kawan cewek satu backingan satu hasil perempuan survei nyata backingan,20
75,temen apaan lo? gak ada lo juga gue gak rugi kali â”ŒÐŸâ”bangsat!,0,teman apa kamu kamu rugi kali bangsat,7
76,dini hari begini emang paling enak teriak idup bangsat yg keras sambil terjun,0,dini hari begini memang paling enak teriak hidup bangsat keras terjun,11
77,"Bangsat ini orang ga jelas banget. Kemarin nuduh gw ngomongin hal jelek tentang dia (padahal nyatanya ENGGA), trus skrng ngomong kalo gw unfriend dia ANJIM ANEHHHHHHH LU https://t.co/0SmYR1AJQ7""",1,bangsat orang jelas sangat kemarin tuduh bicara jelek padahal nyata terus sekarang bicara kalau henti teman anjing aneh kamu,19
78,@FWBESS Inget komenan nan gw ya lu bakal ngerasain sendiri dan ada saat nya lu bakal nyesel karna lu tolol goblok gw jamin hidup lu ga bakal tenang bro kalo lu kek gini bangsat,1,ingat komentar nan kamu bakal rasa sendiri nya kamu bakal sesal kamu tolol goblok jamin hidup kamu bakal tenang saudara kalau kamu begini bangsat,24
79,"kenapa gue skrg goblok dahh bangsat bangsattt, gue knp si",0,sekarang goblok dah bangsat bangsat sih,6
80,"@KimeRebor @gibran_tweet Buktikan edit sendiri, Njing...!!! bangsat kau..!",1,bukti edit sendiri anjing bangsat kamu,6
81,sumpah sakit banget wkwkwk bangsat,0,sumpah sakit sangat wkwk bangsat,5
82,Emosi gw Ama ni bangsat satu https://t.co/JzWPapRYqJ,0,emosi sama nih bangsat satu,5
83,Ada orang malem2 ngechat bikin emosi jir lah makin jelek mood gue bangsat!!!!,0,orang malam ngechat bikin emosi anjir lah makin jelek suasana hati bangsat,12
84,"Ni ntr klok tau ribut ama lu yg kena gua jg bangsat, dah tau jg gua males ngurusin gituan lu tanya gua",0,nih kalo tau ribut sama kamu kena bangsat tau malas urus kamu tanya,13
85,"@msaid_didu @prastow Berapa milyar rakyat gaji kau??? tapi tak becus kerja Merpati Air bangkrut ninggalin hutang, prestasi apa yang bisa di banggakan dari si Anjing Sauid Didu, bangsat kau...!!!",1,berapa milyar rakyat gaji kamu becus kerja merpati air bangkrut tinggal hutang prestasi apa bangga sih anjing sauid didu bangsat kamu,21
86,"Bapak2 gimana sih pemikiran nya di tlpn aja susah gk di angkat apalagi cuma di chat cok, dikira gw sudi apa nungguin berjam jam tanpa kepastian ya butuh kan elu cok bangsat emang bikin emosi aja dah, lu tua bukan berarti yang muda terus yang harus pengertian ye babi",1,bapak bagaimana sih pikir nya telepon susah angkat cuma chat jancok kira sudi apa tunggu jam jam pasti butuh kan kamu jancok bangsat memang bikin emosi kamu tua bukan arti muda terus erti iya babi,35
87,"@kegblgnunfaedh Bangsat, udh bela belain puasa senin kamis, malah ditolak",0,bangsat bela bela puasa senin kamis malah tolak,8
88,"Udh minjam nge jatohin lagi,terus ga ngaku,emng bangsat!!! https://t.co/S90fklTYGZ",0,pinjam nge jatuh terus aku memang bangsat,7
89,Kemarin-kemarin gak saling kenal sana sini ketemunya yg modelan bangsat gatau boundaries. Nyesel gue kenal beberapa orang ini. Lama2 jd ikutan modelan kek mereka kalau terlalu terpapar kelamaan.,0,kemarin kemarin saling kenal sana sini ketemu model bangsat tau boundaries sesal kenal beberapa orang lama jadi ikut model kalau terlalu papar lama,23
90,"@kegblgnunfaedh Eh jablay, jangan bikin jelek image perempuan lah bangsat. Kesel bgt gue ih najis liatnya gak habis pikir. Susah2 dapet pasangan yg sesuai, ini malah cengengesan cerita selingkuh",1,eh jablay jangan bikin jelek citra perempuan lah bangsat kesal sangat ih najis lihat habis pikir susah pasang sesuai malah cengengesan cerita selingkuh,23
91,@idextratime lu so asik bangsat,1,kamu sok asyik bangsat,4
92,"Developer anjeng, di Indonesia bikin aplikasi kaga ada yg bener bangsat. Go digital go digital matamu soak, aplikasi murahan banyak bug aja ",1,developer anjing indonesia bikin aplikasi benar bangsat go digital go digital mata kamu soak aplikasi murah banyak bug,18
93,@tsai8mee Lu energinya mahasiswa bangsat,1,kamu energi mahasiswa bangsat,4
94,"Kalau berhadapan dengan polisi, warga sipil tidak punya hak lagi ya atas privasinya? Sampai hp harus diperiksa, bukannya harusnya identitas diri ya? Peraturan bangsat namanya ini @ListyoSigitP @DivHumas_Polri",0,kalau hadap polisi warga sipil punya hak atas privasi handphone periksa bukan harus identitas diri atur bangsat nama,18
95,Satu kata emng lo bangsat,1,satu kata memang kamu bangsat,5
96,ntar kalo dimarahin bukannya nurut malah balik ngelawan si bangsat ini,0,kalau marah bukan ikut malah balik lawan sih bangsat,9
97,bangsat gue pengen bgt gampar muka lo anjing,1,bangsat sangat gampar muka kamu anjing,6
98,covid bangsat bikin masa kuliah jadi kerasa pendek,0,covid bangsat bikin masa kuliah jadi rasa pendek,8
99,"@FWBESS Anjing mau lu apa sih bangsat, astagfirullah",1,anjing mau kamu apa sih bangsat astagfirullah,7
100,"@villeichtxx @moonareas aku orang sunda anjing, bkn jawa",0,aku orang sunda anjing bukan jawa,6
101,HUUUUHU ANJING INI TIDAK SEHAT PAGI2 INGIN MENYAYANGI WAWANN PANGERAN KECILKU RAJA KECILKU HUHU,0,huuuuhu anjing sehat pagi sayang wawann pangeran kecil raja kecil huhu,11
102,Sekali-kali bilang anjing ra,0,sekali kali bilang anjing ra,5
103,"@AndiSinulingga Dia dibayar buat menggonggong, bukan buat benar dan mengerti, mana paham dia urusan begituan, buzzer itu yg pentng menggonggong, itu manajemen komunikasi zaman now, kalau ada yg kritik soal kebijakan suruh maju anjing piaraan mereka, sia sia komen, kalau saya sudah blokir semua",1,bayar buat gonggong bukan buat benar erti mana paham urus begitu buzzer penting gonggong manajemen komunikasi zaman sekarang kalau kritik soal bijak suruh maju anjing piara kamu kamu komentar kalau blokir semua,32
104,@adikiciw ANJING LEBIH GELI,0,anjing lebih geli,3
105,Dimana bedanya dgn anjing ya?,0,beda anjing,2
106,1 orang yang ngulah satu kelas yang kena anjing,0,orang ulah satu kelas kena anjing,6
107,ni cewe anjing banget dah. pasti lo dalangnya kan?,1,nih cewek anjing sangat kamu dalang kan,7
108,APASI ANJING MASIH PAGI JUGA WKWKWK,0,apa sih anjing pagi wkwk,5
109,@AndiSinulingga @Dennysiregar7 Mana berani para anjing Peking muncul ditempat terbuka!!! mereka semuanya pengecut!!!,1,mana berani anjing peking muncul tempat buka semua kecut,9
110,@thebanibani Wkwkkwkwkwkwkwk anjing lu,1,wkwk anjing kamu,3
111,@kirwinter Sumpah aku kira foto anjing,0,sumpah aku kira foto anjing,5
112,@SangraKarisma @whendarkness_ @aliefadha13 @bertaruhpadadoa @memefess Bodo amat.. anggap aja mereka anjing anjing penjilat yg suka makan taik,1,bodoh anggap anjing anjing jilat suka makan tai,8
113,@nctzhalu Apasih anjing,0,apa sih anjing,3
114,@sojunghwanv MAKSUT LU GA MIRIP APA???? ITU MIRIP ANJING KEREN BGT,0,maksud kamu mirip apa mirip anjing keren sangat,8
115,Brisik bgt anjing,0,berisik sangat anjing,3
116,"@convomf banget anjing, sukanya adu nasib, kek ga bersyukur ae tu org, sambat mulu kerjaanya",1,sangat anjing suka adu nasib syukur orang sambat selalu kerja,10
117,duh anjing gatel bgt,1,aduh anjing gatal sangat,4
118,"Herman jugak, minimal ditolak kek eh malah digunjing ganjing memang anjing",1,herman minimal tolak eh malah gunjing ganjing memang anjing,9
119,@Tita83079013 Kayaknya kalian ini islamofobia.. dasar buzzer babik.. anjing kalian.. manusia laknat.. anak keturunan londo ireng.. kapir laknat..,1,kayak kalian islamofobia dasar buzzer babi anjing kalian manusia laknat anak turun londo ireng kafir laknat,16
120,@sundastruggle Iya ya kenapa selalu banyak kata anjing sama goblok sia kalo denger mereka ngomong,0,iya selalu banyak kata anjing sama goblok kamu kalau dengar bicara,11
121,"@kookiesnminily Anjing lo aja mati sana, banyak bacot gada prestasi aja gegayaan",1,anjing kamu mati sana banyak bacot prestasi gegayaan,8
122,anjing lo bangsat sotau,1,anjing kamu bangsat sok tau,5
123,Males bgt masuk dosennya kyak anjing,1,malas sangat masuk dosen anjing,5
124,"@tanyakanrl Diem, muka lu noh gradakan sama banyak komedo anjing!",1,diam muka kamu gradakan sama banyak komedo anjing,8
125,@iwan_mochamad @OposisiCerdas Kalo jadi anjing.. jadilah anjing yang pantas di hargai.. jangan hanya jadi anjing di ikat lehernya ditambat dikasih makan tai pun dilahab..,1,kalau jadi anjing jadi anjing pantas harga jangan jadi anjing ikat leher tambat kasih makan tai lahab,17
126,@ttmymoodb Anjing bocah freak banget babi emosi gw liat muka muka nya,1,anjing bocah freak sangat babi emosi lihat muka muka nya,10
127,@convomfs muka lo gue ancurin ya anjing,1,muka kamu hancur anjing,4
128,Ini anak kurang ajar banget anjing lu aja napa yang musnah,1,anak kurang ajar sangat anjing kamu musnah,7
129,kasi tau kasi tau palalo kaya anjing,1,kasih tau kasih tau kepala kamu anjing,7
130,"@adi_kempo @gusbaster87 bukan masalah kurang yakin, itu sakit anjing wkwkwk",0,bukan masalah kurang yakin sakit anjing wkwk,7
131,Anjing!!! Lu yang pada bikin dosa bisa2nyaaa ngatain gue yang harus hati2 kena karma,0,anjing kamu bikin dosa nya maki hati kena karma,9
132,@kapalapos86 Bangsat dengan kau angota bru klakuan model macam binatang saja... Harus dibproses itu anjing,1,bangsat kamu angota baru laku model macam binatang proses anjing,10
133,Tetangga anjing babi monyet bangsattt,1,tetangga anjing babi monyet bangsat,5
134,elo yang anjing,1,kamu anjing,2
135,"Kayak... aku ternyata gagal disegala hal ya, keluarga, percintaan, sampe pendidikan aja gue gagal meng. Aku harus koprol atau kayang gimana lagi biar aku tetap kuat menjalaninhari seperti anjing",0,kayak aku nyata gagal segala keluarga cinta didik gagal meng aku koprol kayang bagaimana biar aku tetap kuat jalan hari anjing,21
136,awokwokwok nyari ribut kok sama gua. gausah adu bacot lewat chat gw samperin muke lu anjing,1,wkwk cari ribut kok sama usah adu bacot lewat chat samper muka kamu anjing,14
137,IH ADA KECOA TERBANG ANJING,0,ih kecoa terbang anjing,4
138,"Nggak sekali dua kali sih dia salty, tapi kali ini gue kesentil krn lo nggak bs ngomong gt anjing seolah2 nggak punya bpk itu pilihan hidup sang anak. Ya Allah, semoga dunia berbuat baik deh sama lo biar hidup lo nggak salty terus ya ",0,sekali kali sih salty kali sentil kamu bicara anjing punya bapak pilih hidup sang anak allah moga dunia buat baik deh sama kamu biar hidup kamu salty terus,28
139,"berat sama dipikul, ringan sama dijinjing, sumpah gue pengen mukul, kelakuan lo kek anjing",1,berat sama pikul ringan sama jinjing sumpah pukul laku kamu anjing,11
140,"@sutanmangara Quran apa dipegang oleh pemerintah? Karena ga ada uangnya, pemerintah bodoh, sama kayak lu..!! Uang haji jama'ah dipakai pemerintah, sampai skrg belum dikembalikan. Paham kau anjing…!!!!",1,alquran apa pegang perintah uang perintah bodoh sama kayak kamu uang haji jama ah pakai perintah sekarang kembali paham kamu anjing,21
141,"@taurussya Anjing, apa harus seberat ini karma buat si J?? Literally, urusan dia cuma sama si T, kenapa jd satu kampus musuhin dia?? Knp jd gini??",0,anjing apa berat karma buat sih j literally urus cuma sama sih t jadi satu kampus musuh jadi begini,19
142,"udh lagunya sedih, di spedup kirain asik. eh malah lebih sedih lg anjing https://t.co/wWJVILxH50",0,lagu sedih spedup kira asyik eh malah lebih sedih anjing,10
143,"jadi inget kata guru gw dulu, dia bilang gini """"..hidup itu ngga bisa kamu atur, kita aja bisa nikah sama orang yg ngga kita suka"""". jlebb.. dlm hati anjing.., dia ngomong gitu sambil memalingkan muka. dari gestur nya, Fix, dia juga pasti ngerasain.",0,jadi ingat kata guru dulu bilang begini hidup kamu atur nikah sama orang suka jlebb hati anjing bicara maling muka gestur nya fix rasa,24
144,@IrwinSulaiman pembelaan diri si ANJING WAHABI,1,bela diri sih anjing wahabi,5
145,"@sbmptnfess Keliatannya seru nder, trs juga di tempatku dokter hewan esp buat kucing/anjing msh banyak yg cari gttt. Tapi harus siap ngafalin banyak hal apalagi anatomi yg beda2 dari mamalia dkk",0,lihat seru kirim terus tempat aku dokter hewan esp buat kucing anjing banyak cari gttt siap hafal banyak anatomi beda mamalia kawan kawan,23
146,bodo amat semua orang anjing,1,bodoh semua orang anjing,4
147,"@Dennysiregar7 Otak lu soak, ngutang kelewat barÂ² anjing kurap, 2 periode mana hasil kerja rakyat makmur mau aja lu dikibulin joko, di ujung masa malah import segala segi, rupiah anjlok terus, asuu rp gk tau ekonomi mending lu urus rung jantung lu yg kudisan haha",1,otak kamu soak utang lewat bar anjing kurap periode mana hasil kerja rakyat makmur mau kamu kibul joko ujung masa malah impor segala segi rupiah anjlok terus asu rupiah tau ekonomi mending kamu urus rung jantung kamu kudis haha,39
148,"Dongkol bgt dah, anjing!",0,dongkol sangat anjing,3
149,"@jaeminpisbar @tanyakanrl Sama anjing juga boleh tuh kak, anjing ku kemarin sekali lahiran brojol 7 anak",0,sama anjing kakak anjing aku kemarin sekali lahir brojol anak,10
150,@Dennysiregar7 @cokro_tv @2045Tv @prastow Cokro taek siaran pemecah belah rakyat TV anjing lu,1,cokro tai siar pecah belah rakyat televisi anjing kamu,9
151,kenapa ya teman2ku anjing pada gamau main,0,teman aku anjing mau main,5
152,@celtics Apaan nih anjing cedera semua,0,apa nih anjing cedera semua,5
153,W lg knp sih qo melow banget anjing nangis mulu dr jam 9,0,sih kok melow sangat anjing tangis selalu jam,8
154,Dasar anjing kalian semua :)))),1,dasar anjing kalian semua,4
155,"mata gua yg kanan kenapa sakit bet anjing, gatel bgt lagi",0,mata kanan sakit sangat anjing gatal sangat,7
156,"BAJINGAN LO CICAK! GUE LG GALAU NAPA LU DATENG"""" NGENCINGIN GUE HAH!? GUE SALAH APA ANJING ARGH",0,bajing kamu cicak galau kamu datang kencing ha salah apa anjing argh,12
157,Anjing!!! Lu yang pada bikin dosa bisa2nyaaa ngatain gue yang harus hati2 kena karma?! MUAKKKK ANJINGGGGGG!!!!!!,1,anjing kamu bikin dosa nya maki hati kena karma muak anjing,11
158,@sbtcon kaga usah di beli anjing barang nya,0,usah beli anjing barang nya,5
159,"@aqwrum @moonareas Anjing jangan, masalah lagi",0,anjing jangan masalah,3
161,Oh gini rasanya dihargai. Kaget anjing. Doanya cuma satu: yang ini jangan pergi.,0,begini rasa harga kaget anjing doa cuma satu jangan pergi,10
162,padahal sebenarnya... wkwkwk anjing https://t.co/dslqjagjRG,0,padahal benar wkwk anjing,4
163,tapi aku pengen banget punya anjing lagi kaya dulu.,0,aku sangat punya anjing dulu,5
164,@Gitarams19 Anjing lucu bgt,0,anjing lucu sangat,3
